620731804, MA200, 63, 82, 58, 68
510661066, ST260, 90, 62, 88, 86
, CP164, 66, 82, 81, 75
229922406, CP317, 84, 78, 55, 55
454730171, , 69, 80, 72, -1
185598260, BU352, , 81, 92, 91
423091466, MA370, 54, 93, 71, -1
241905753, ST260, 59, 69, 56, 96
620731804, PS263, 64, 54, 91, 69
423091466, PS262, 89, 56, 66, 54
229922406, EC120, 85, 56, 72, 77
510661066, BU352, 81, 71, 65, 96
, CP460, 74, 98, 76, 52
150295440, ST259, 66, 84, 95, 88
454730171, BU415, 62, 61, 95, 57
306851690, EC120, 57, 52, 88, 51
413787382, BU415, 98, 58, 59, 52
185598260, BU111, 58, 98, 56, 89
150295440, BI111, 75, 95, 83, 67
241905753, CP460, 70, 82, 81, 56
